Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Nic Dowd, Healthy, Wsh, C, FA, Ott, W 6-3, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Sonny Milano, DTD, Wsh, LW, FA, Ott, W 6-3, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Marc McLaughlin, Healthy, Bos, C, FA, @Sea, L 3-4, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Carl Grundstrom, IR, LA, LW, FA, @Edm, L 2-4, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Milan Lucic, IR, Bos, LW, FA, @Sea, L 3-4, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Derek Forbort, IR, Bos, D, FA, @Sea, L 3-4, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Sam Gagner, Healthy, Edm, C, FA, LA, W 4-2, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Nils Lundkvist, Healthy, Dal, D, FA, NYI, L 2-3, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Zdeno Chara, Healthy, Bos, D, FA, @Sea, L 3-4, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
Oliver Wahlstrom, Healthy, NYI, RW, FA, @Dal, W 3-2, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --
